price,numBedrooms,numBathrooms,propertySize,total_images,longitude,latitude,ber_rating,featuredLevel,propertyType,sellerType
675000,4,2,126.0,9.0,-8.783178,53.683317,E1,featured,Terrace,BRANDED_AGENT
500000,4,3,195.0,22.0,-9.688411,52.283223,C3,featured,Detached,BRANDED_AGENT
449000,4,4,58.0,9.0,-6.275694,53.337575,D2,featured,Detached,UNBRANDED_AGENT
825000,4,5,370.0,18.0,-6.31485,52.855521,E2,featured,Detached,BRANDED_AGENT
130000,3,1,78.0,22.0,-7.495391,53.273027,B3,featured,Townhouse,BRANDED_AGENT
745000,4,3,60.0,10.0,-6.26979,53.341804,D2,featured,Detached,BRANDED_AGENT
225000,4,2,117.0,22.0,-7.50372,53.286411,C1,featured,Terrace,BRANDED_AGENT
795000,4,3,223.0,13.0,-7.738553,54.934539,C1,featured,Detached,BRANDED_AGENT
229950,2,2,88.0,25.0,-7.914302,53.103365,SI_666,featured,Terrace,UNBRANDED_AGENT
795000,4,4,186.0,14.0,-8.967738,51.906582,D1,featured,Detached,BRANDED_AGENT
395000,2,1,58.0,20.0,-6.199654,53.616041,C3,featured,End of Terrace,BRANDED_AGENT
795000,4,3,137.0,15.0,-6.41449,53.995467,XXX,featured,Semi-D,BRANDED_AGENT
1400000,3,3,170.0,27.0,-8.532825,52.665842,D2,featured,Semi-D,BRANDED_AGENT
240000,2,2,74.0,18.0,-6.930481,52.222338,C3,featured,Apartment,BRANDED_AGENT
395000,3,3,115.0,24.0,-9.112260534808314,53.46953656712907,XXX,featured,Detached,BRANDED_AGENT
485000,4,2,177.0,21.0,-9.112260534808314,53.46953656712907,A3,featured,Detached,BRANDED_AGENT
329000,3,3,114.0,11.0,-6.447022,53.359257,C3,featured,Semi-D,BRANDED_AGENT
435000,4,3,126.0,35.0,-6.459014,53.337937,B3,featured,Semi-D,BRANDED_AGENT
365000,3,1,76.0,25.0,-7.000567,53.21806,C2,featured,End of Terrace,BRANDED_AGENT
259000,4,2,122.0,38.0,-6.35719,53.367689,B2,featured,Semi-D,BRANDED_AGENT
260000,2,1,65.0,24.0,-6.189197,53.452006,D2,premium,Apartment,BRANDED_AGENT
250000,2,1,70.0,12.0,-8.977616,52.601791,C1,premium,Apartment,BRANDED_AGENT
